iter	Passed	Remaining
0	0	951
1	1	788
2	2	704
3	2	664
4	3	635
5	3	567
6	4	592
7	4	580
8	5	573
9	5	565
10	6	559
11	6	552
12	7	546
13	7	542
14	8	538
15	8	536
16	9	535
17	9	532
18	10	529
19	10	526
20	11	525
21	11	512
22	11	509
23	12	499
24	12	489
25	12	480
26	13	471
27	13	462
28	13	454
29	13	447
30	14	440
31	14	433
32	14	427
33	14	421
34	15	416
35	15	411
36	15	406
37	15	401
38	16	397
39	16	393
40	16	389
41	16	385
42	17	381
43	17	377
44	17	374
45	17	370
46	18	367
47	18	364
48	18	361
49	18	359
50	19	356
51	19	353
52	19	351
53	19	349
54	20	347
55	20	345
56	20	342
57	21	341
58	21	340
59	21	338
60	21	336
61	22	334
62	22	333
63	22	331
64	22	329
65	23	328
66	23	326
67	23	324
68	23	323
69	24	321
70	24	319
71	24	318
72	24	316
73	25	315
74	25	313
75	25	312
76	26	311
77	26	310
78	26	309
79	26	307
80	27	306
81	27	305
82	27	302
83	27	301
84	27	300
85	28	299
86	28	298
87	28	297
88	28	296
89	29	295
90	29	294
91	29	293
92	29	291
93	30	291
94	30	289
95	30	288
96	30	287
97	31	286
98	31	285
99	31	284
100	31	283
101	32	283
102	32	282
103	32	281
104	32	280
105	33	279
106	33	278
107	33	277
108	33	276
109	34	275
110	34	275
111	34	274
112	34	273
113	35	272
114	35	271
115	35	270
116	35	269
117	35	268
118	36	268
119	36	267
120	36	266
121	36	265
122	37	264
123	37	264
124	37	263
125	37	263
126	38	262
127	38	261
128	38	261
129	38	260
130	39	260
131	39	259
132	39	258
133	39	258
134	40	257
135	40	257
136	40	256
137	40	255
138	41	255
139	41	254
140	41	254
141	41	252
142	42	252
143	42	251
144	42	251
145	42	250
146	43	250
147	43	249
148	43	248
149	43	248
150	44	247
151	44	247
152	44	247
153	44	246
154	45	245
155	45	245
156	45	244
157	45	244
158	46	243
159	46	243
160	46	242
161	46	241
162	46	241
163	47	241
164	47	240
165	47	240
166	48	239
167	48	239
168	48	238
169	48	238
170	49	237
171	49	237
172	49	236
173	49	236
174	49	235
175	50	235
176	50	234
177	50	234
178	50	233
179	51	233
180	51	232
181	51	232
182	51	231
183	52	231
184	52	231
185	52	230
186	52	230
187	53	229
188	53	229
189	53	228
190	53	228
191	54	227
192	54	227
193	54	227
194	54	226
195	55	226
196	55	225
197	55	225
198	55	225
199	56	224
200	56	224
201	56	223
202	56	223
203	57	223
204	57	222
205	57	222
206	57	221
207	58	221
208	58	221
209	58	220
210	58	220
211	59	219
212	59	219
213	59	219
214	59	218
215	60	218
216	60	217
217	60	217
218	60	217
219	61	216
220	61	216
221	61	215
222	61	215
223	62	215
224	62	214
225	62	214
226	62	214
227	63	213
228	63	213
